,0
0,Montana
1,Arkansas
2,Michigan
3,Florida
4,Delaware
5,Maryland
6,Alaska
7,Wisconsin
8,Nebraska
9,Massachusetts
10,New Jersey
11,Vermont
12,Virginia
13,Minnesota
14,South Carolina
15,Louisiana
16,Mississippi
17,Rhode Island
18,North Dakota
19,Texas
20,Utah
21,Oregon
22,Maine
23,Illinois
24,New Hampshire
25,Pennsylvania
26,California
27,New York
28,Iowa
29,Washington
30,Arizona
31,Kansas
32,Alabama
33,Nevada
34,South Dakota
35,North Carolina
36,Tennessee
37,New Mexico
38,Idaho
39,Oklahoma
40,West Virginia
41,Connecticut
42,Hawaii
43,Kentucky
44,Missouri
45,Colorado
46,Georgia
47,Ohio
48,Wyoming
49,Indiana
